CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
50-36-2, ,C17H21N1O4,Cocaine,2.3,2.17,-0.13,"Hansch,C et al. (1995)"
50-37-3, ,C20H25N3O1,LSD,2.95,2.26,-0.69,"Hansch,C et al. (1995)"
50-44-2, ,C5H4N4S1,6-Purinethiol hydrate,0.01,-0.13,-0.14,"Hansch,C & Leo,A (1985)"
50-47-5, ,C18H22N2,Desipramine,4.9,4.8,-0.1,"Hansch,C et al. (1995)"
50-48-6,T,C20H23N1,Amitptyline,4.92,4.95,0.03,"Hansch,C et al. (1995)"
50-49-7,T,C19H24N2,Imipramine,4.8,5.01,0.21,"Hansch,C et al. (1995)"
50-52-2,T,C21H26N2S2,Thioridazine,5.9,6.45,0.55,"Hansch,C et al. (1995)"
50-53-3,T,C17H19CL1N2S1,Chlorpromazine,5.41,5.2,-0.21,"Avdeef,A (1995)"
50-59-9,N,C19H17N3O4S2,Cephaloridine (zwitterion form),-1.62,-1.38,0.24,"Hansch,C et al. (1995)"
50-67-9, ,C10H12N2O1,5-Hydroxytryptamine,0.21,0.79,0.58,"Hansch,C et al. (1995)"
50-69-1,T,C5H10O5,Ribose,-2.32,-2.43,-0.11,"Hansch,C et al. (1995)"
50-70-4,N,C6H14O6,D-Glucitol,-2.2,-3.01,-0.81,Sangster (1994)
50-71-5,N,C4H2N2O4,Alloxan,-1.84,-1.04,0.8,BioByte (1995)
50-78-2,T,C9H8O4,Acetylsalicylic acid,1.19,1.13,-0.06,"Hansch,C et al. (1995)"
50-79-3, ,C7H4CL2O2,"2,5-Dichlorobenzoic acid",2.82,2.82,0.0,"Da,YZ et al. (1992)"
50-81-7,S,C6H8O6,L-Ascorbic acid,-1.85,-1.88,-0.03,"Avdeef,A (1997)"
50-85-1,T,C8H8O3,4-Methylsalicylic acid,2.99,2.79,-0.2,"Hansch,C et al. (1995)"
50-86-2,N,C9H9N1O4,"Benzoic acid, 4-(acetylamino)-2-hydroxy",1.62,1.0,-0.62,"Laznicek,M et al. (1987)"
50-89-5,N,C10H14N2O5,Thymidine,-0.93,-0.64,0.29,Sangster (1993)
50-91-9,T,C9H11F1N2O5,Floxuridine,-1.16,-1.14,0.02,"Hansch,C et al. (1995)"
50-98-6,N,C10H16CL1N1O1,"Benzenemethanol,a[1(MeAm)Et] HCL",-2.45,-2.07,0.38,Sangster (1994)
50-99-7,N,C6H12O6,D-Glucose,-3.24,-2.89,0.35,Sangster (1994)
51-03-6,N,C19H30O5,Piperonyl butoxide,4.75,4.29,-0.46,"Tomlin,C (1994)"
51-06-9,T,C13H21N3O1,Procainamide,0.88,0.97,0.09,"Hansch,C et al. (1995)"
51-12-7, ,C16H18N4O2,Nialamide,0.87,0.32,-0.55,"Hansch,C et al. (1995)"
51-17-2,T,C7H6N2,Benzimidazole,1.32,1.23,-0.09,"Hansch,C et al. (1995)"
51-20-7,T,C4H3Br1N2O2,5-Bromouracil,-0.21,-0.47,-0.26,"Hansch,C et al. (1995)"
51-21-8,T,C4H3F1N2O2,5-Fluorouracil,-0.89,-0.81,0.08,"Hansch,C et al. (1995)"
51-28-5,T,C6H4N2O5,"2,4-Dinitrophenol",1.67,1.73,0.06,"Hansch,C et al. (1995)"
51-30-9,N,C11H18CL1N1O3,"1,2-Benzenediol,4[1OH-2[iPrAmEt]HCL",-2.69,-2.67,0.02,Sangster (1994)
51-34-3,N,C17H21N1O4,Scopolamine,0.98,0.39,-0.59,Sangster (1994)
51-35-4,T,C5H9N1O3,Hydroxyproline,-3.17,-2.69,0.48,"Hansch,C et al. (1995)"
51-36-5, ,C7H4CL2O2,"3,5-Dichlorobenzoic acid",3.0,3.16,0.16,"Hansch,C et al. (1995)"
51-41-2,N,C8H11N1O3,Norepinephrine,-1.24,-1.16,0.08,"Hansch,C et al. (1995)"
51-43-4,N,C9H13N1O3,"1,2-Benzenediol,4-[1-OH-2-(Me amino)Et]",-1.37,-0.69,0.68,"Hansch,C & Leo,A (1985)"
51-44-5, ,C7H4CL2O2,"3,4-Dichlorobenzoic acid",3.25,3.16,-0.09,"Da,YZ et al. (1992)"
51-45-6,N,C5H9N3,Histamine,-0.7,-0.73,-0.03,Sangster (1993)
51-55-8, ,C17H23N1O3,Atropine,1.83,1.91,0.08,"Hansch,C et al. (1995)"
51-61-6,N,C8H11N1O2,Dopamine,-0.98,0.38,1.36,"Hansch,C et al. (1995)"
51-66-1, ,C9H11N1O2,p-Methoxyacetanilide,1.03,1.18,0.15,"Hansch,C et al. (1995)"
51-75-2,N,C5H11CL2N1,"N,N-Bis(2-chloroethyl)methylamine",0.91,1.53,0.62,"Selassie,CD et al. (1990)"
51-79-6,T,C3H7N1O2,o-Ethyl carbamate (urethane),-0.15,-0.02,0.13,"Hansch,C et al. (1995)"
51-93-4, ,C5H14I1N1,Ethyltrimethylammonium iodide,-3.14,-3.69,-0.55,"Kimura,R et al. (1991)"
52-01-7,T,C24H32O4S1,Spironolactone,2.78,2.88,0.1,"Hansch,C et al. (1995)"
52-21-1,T,C23H30O6,Prednisolone acetate,2.4,2.14,-0.26,"Hansch,C et al. (1995)"
52-24-4,S,C6H12N3S1P1,Thiotepa,0.53,0.61,0.08,"Hansch,C et al. (1995)"
52-31-3,N,C12H16N2O3,Cyclobarbital,1.77,2.3,0.53,"Hansch,C et al. (1995)"
52-39-1, ,C21H28O5,Aldosterone,1.08,1.23,0.15,"Hansch,C et al. (1995)"
52-43-7,T,C10H12N2O3,Allobarbital,1.15,1.31,0.16,"Hansch,C et al. (1995)"
52-44-8,N,C9H12N2O3,"2,4-Diazaspiro[5.5]undecane-1,3,5-trione",0.91,0.98,0.07,"Prankerd,RJ & McKeown,RH (1992)"
52-45-9,N,C9H12N2O2S1,"24-Diazaspiro[55]undecan15dione,3-thioxo",1.78,1.85,0.07,"Prankerd,RJ & McKeown,RH (1992)"
52-52-8, ,C6H11N1O2,Cycloleucine,-2.28,-1.67,0.61,"Tsai,RS et al. (1991)"
52-53-9,N,C27H38N2O4,Verapamil,3.79,4.8,1.01,"Hansch,C et al. (1995)"
52-67-5, ,C5H11N1O2S1,Pencillamine,-1.78,-2.18,-0.4,"Hansch,C et al. (1995)"
52-68-6, ,C4H8CL3O4P1,Trichlorfon,0.51,-0.28,-0.79,"Hansch,C et al. (1995)"
52-85-7, ,C10H16N1O5S2P1,Famphur,2.23,1.99,-0.24,"Hansch,C et al. (1995)"
52-86-8,T,C21H23CL1F1N1O2,Haloperidol,4.3,4.2,-0.1,"El Tayar,N et al. (1985)"
52-88-0,N,C18H26N2O6,Methylatropine nitrate,-2.22,-1.63,0.59,"Hansch,C et al. (1995)"
52-90-4, ,C3H7N1O2S1,Cysteine,-2.49,-3.05,-0.56,"Hansch,C et al. (1995)"
53-03-2,T,C21H26O5,Prednisone,1.46,1.59,0.13,"Hansch,C et al. (1995)"
53-06-5,T,C21H28O5,Cortisone,1.47,1.81,0.34,"Hansch,C et al. (1995)"
53-16-7, ,C18H22O2,Estrone,3.13,3.43,0.3,"Hansch,C et al. (1995)"
53-41-8,N,C19H30O2,Androsterone,3.69,3.07,-0.62,"Hansch,C et al. (1995)"
53-43-0,N,C19H28O2,Prasterone,3.23,2.98,-0.25,"Hansch,C et al. (1995)"
53-70-3,T,C22H14,"Dibenz(a,h)anthracene",6.75,6.7,-0.05,Sangster (1993)
53-79-2,T,C22H29N7O5,Puromycin,0.03,-0.28,-0.31,"Hansch,C et al. (1995)"
53-86-1,S,C19H16CL1N1O4,Indomethacin,4.27,4.23,-0.04,"Hansch,C et al. (1995)"
54-04-6, ,C11H17N1O3,Mescaline,0.78,0.85,0.07,"Hansch,C et al. (1995)"
54-05-7,T,C18H26CL1N3,Chloroquine,4.63,4.5,-0.13,"Hansch,C et al. (1995)"
54-11-5, ,C10H14N2,Nicotine,1.17,1.0,-0.17,"Hansch,C et al. (1995)"
54-12-6,N,C11H12N2O2,DL-Tryptophan,-1.05,-1.22,-0.17,"Hansch,C et al. (1995)"
54-20-6,T,C5H3F3N2O2,Trifluoromethyluracil,0.04,0.1,0.06,"Hansch,C et al. (1995)"
54-21-7,T,C7H5Na1O3,Sodium salicylate,-1.43,-1.49,-0.06,"Hansch,C et al. (1995)"
54-25-1,T,C8H11N3O6,6-Azauridine,-2.14,-2.26,-0.12,"Hansch,C et al. (1995)"
54-31-9, ,C12H11CL1N2O5S1,Furosemide,2.03,2.32,0.29,Sangster (1993)
54-32-0,N,C16H25N1O3,Moxisylyte,3.17,3.37,0.2,"Dallet,P et al. (1985)"
54-42-2,N,C9H11I1N2O5,"Uridine, 2'-deoxy-5-iodo-",-0.96,-0.38,0.58,"Narurkar,MM & Mitra,AK (1988)"
54-49-9,T,C9H13N1O2,Metaraminol,-0.27,-0.26,0.01,"Hansch,C et al. (1995)"
54-80-8,N,C15H19N1O1,Pronethalol,3.0,2.35,-0.65,Sangster (1993)
54-85-3,T,C6H7N3O1,Isoniazid,-0.7,-0.81,-0.11,"Hansch,C et al. (1995)"
54-91-1,N,C10H16Br2N2O2,Pipobroman,0.42,0.25,-0.17,"Hansch,C et al. (1995)"
54-92-2,N,C9H13N3O1,Iproniazid,0.37,0.56,0.19,"Hansch,C et al. (1995)"
54-95-5, ,C6H10N4,Pentylenetetrazole,0.14,0.87,0.73,"Hansch,C et al. (1995)"
55-18-5,T,C4H10N2O1,N-Nitrosodiethylamine,0.48,0.34,-0.14,"Hansch,C et al. (1995)"
55-21-0,T,C7H7N1O1,Benzamide,0.64,0.74,0.1,"Hansch,C et al. (1995)"
55-22-1,N,C6H5N1O2,4-Pyridinecarboxylic acid,0.32,0.69,0.37,"Hansch,C et al. (1995)"
55-38-9,T,C10H15O3S2P1,Fenthion,4.09,4.08,-0.01,"Hansch,C et al. (1995)"
55-63-0,T,C3H5N3O9,"1,2,3-Propanetriol trinitrate",1.62,1.51,-0.11,"Hansch,C et al. (1995)"
55-98-1,T,C6H14O6S2,Mylerlan,-0.52,-0.68,-0.16,"Hansch,C et al. (1995)"
56-12-2,T,C4H9N1O2,4-Aminobutyric acid,-3.17,-3.6,-0.43,"Hansch,C et al. (1995)"
56-23-5,T,C1CL4,Carbon tetrachloride,2.83,2.44,-0.39,"Hansch,C et al. (1995)"
56-29-1,T,C12H16N2O3,Hexabarital,1.98,2.02,0.04,Sangster (1994)
56-34-8, ,C8H20CL1N1,Tetraethylammonium chloride,-3.15,-2.22,0.93,"Kimura,R et al. (1991)"
56-38-2,T,C10H14N1O5S1P1,Parathion,3.83,3.73,-0.1,"Hansch,C et al. (1995)"
56-40-6,T,C2H5N1O2,Glycine,-3.21,-3.41,-0.2,"Hansch,C et al. (1995)"
56-41-7,N,C3H7N1O2,L-Alanine,-2.85,-2.99,-0.14,Sangster (1994)
56-45-1,T,C3H7N1O3,Serine,-3.07,-3.46,-0.39,"Hansch,C et al. (1995)"
56-47-3,T,C23H32O4,Deoxycorticosterone acetate,3.08,3.71,0.63,"Hansch,C et al. (1995)"
56-49-5,T,C21H16,3-Methylcholanthrene,6.42,7.05,0.63,"Hansch,C et al. (1995)"
56-53-1, ,C18H20O2,DES,5.07,5.64,0.57,"Hansch,C et al. (1995)"
56-54-2, ,C20H24N2O2,Quinidine,3.44,3.29,-0.15,"Hansch,C et al. (1995)"
56-55-3,N,C18H12,Benz[a]anthracene,5.76,5.52,-0.24,"Wang,L et al. (1986)"
56-57-5,T,C9H6N2O3,4-Nitroquinoline oxide,1.09,0.82,-0.27,"Hansch,C et al. (1995)"
56-72-4,N,C14H16CL1O5P1S1,Coumaphos,4.13,4.47,0.34,"Tomlin,C (1994)"
56-75-7,T,C11H12CL2N2O5,Chloramphenicol,1.14,0.92,-0.22,"Hansch,C et al. (1995)"
56-81-5,T,C3H8O3,Glycerol,-1.76,-1.65,0.11,"Hansch,C et al. (1995)"
56-84-8,N,C4H7N1O4,L-Aspartic acid,-3.89,-4.32,-0.43,"Chmelik,J et al. (1991)"
56-85-9, ,C5H10N2O3,Glutamine,-3.64,-4.49,-0.85,"Chmelik,J et al. (1991)"
56-86-0,T,C5H9N1O4,Glutamic acid,-3.69,-3.83,-0.14,"Hansch,C et al. (1995)"
56-87-1,T,C6H14N2O2,Lysine,-3.05,-2.99,0.06,"Hansch,C et al. (1995)"
56-89-3,N,C6H12N2O4S2,L-Cystine,-5.08,-4.34,0.74,"Chmelik,J et al. (1991)"
56-91-7, ,C8H9N1O2,4-Aminomethylbenzoic acid,1.03,0.95,-0.08,"Da,YZ et al. (1992)"
56-93-9, ,C10H16CL1N1,Benzyl trimethyl ammonium chloride,-2.17,-2.47,-0.3,"Hansch,C et al. (1995)"
57-10-3,N,C16H32O2,Hexadecanoic acid,7.17,6.96,-0.21,Sangster (1993)
57-11-4,N,C18H36O2,Octadecanoic acid,8.23,7.94,-0.29,Sangster (1993)
57-13-6, ,C1H4N2O1,Urea,-2.11,-1.56,0.55,"Hansch,C et al. (1995)"
57-15-8, ,C4H7CL3O1,"b,b,b-Trichloro-t-butanol",2.03,2.09,0.06,"Hansch,C et al. (1995)"
57-22-7,N,C46H56N4O10,Leurocristine,2.82,3.2,0.38,"Hansch,C et al. (1995)"
57-24-9, ,C21H22N2O2,Strychnine,1.93,1.85,-0.08,"Hansch,C et al. (1995)"
57-27-2, ,C17H19N1O3,Morphine,0.89,0.72,-0.17,"Avdeef,A et al. (1996)"
57-41-0,T,C15H12N2O2,Phenytoin,2.47,2.16,-0.31,"Hansch,C et al. (1995)"
57-42-1, ,C15H21N1O2,Demerol,2.72,3.03,0.31,Sangster (1994)
57-43-2,T,C11H18N2O3,Amobarbital,2.07,2.0,-0.07,"Hansch,C et al. (1995)"
57-44-3,T,C8H12N2O3,Barbital,0.65,0.6,-0.05,"Hansch,C et al. (1995)"
57-47-6,N,C15H21N3O2,Physostigmine,1.58,1.33,-0.25,"Hansch,C et al. (1995)"
57-50-1, ,C12H22O11,Sucrose,-3.7,-4.27,-0.57,"Hansch,C et al. (1995)"
57-53-4,T,C9H18N2O4,Meprobamate,0.7,0.98,0.28,"Hansch,C et al. (1995)"
57-55-6,T,C3H8O2,"1,2-Propanediol",-0.92,-0.78,0.14,"Hansch,C et al. (1995)"
57-62-5,N,C22H23CL1N2O8,Chlortetracycline,-0.62,-0.68,-0.06,Sangster (1993)
57-63-6,N,C20H24O2,Ethinyl estradiol,3.67,4.12,0.45,"Hansch,C et al. (1995)"
57-66-9, ,C13H19N1O4S1,Probenecid,3.21,2.89,-0.32,"Hansch,C et al. (1995)"
57-67-0, ,C7H10N4O2S1,Sulfanilyl guanadine,-1.22,-1.07,0.15,"Hansch,C et al. (1995)"
57-68-1, ,C12H14N4O2S1,Sulfamethazine,0.89,0.76,-0.13,BioByte (1995)
57-74-9,N,C10H6CL8,"Chlordane (avg cis-,trans-)",6.16,6.26,0.1,"Simpson,CD et al. (1995)"
57-83-0,T,C21H30O2,Progesterone,3.87,3.67,-0.2,"Hansch,C et al. (1995)"
57-96-5,T,C23H20N2O3S1,Sulfoxyphenyl pyrazolidine,2.3,2.14,-0.16,"Hansch,C et al. (1995)"
57-97-6, ,C20H16,"7,12-DiMe-benz(a)anthracene",5.8,6.62,0.82,"Hansch,C et al. (1995)"
58-00-4,N,C17H17N1O2,Apomorphine,2.3,2.78,0.48,"Hansch,C et al. (1995)"
58-08-2, ,C8H10N4O2,Caffeine,-0.07,0.16,0.23,"Hansch,C et al. (1995)"
58-14-0,T,C12H13CL1N4,Pyrimethamine,2.69,2.41,-0.28,"Hansch,C et al. (1995)"
58-15-1,N,C13H17N3O1,Aminopyrine,1.0,0.6,-0.4,"Hansch,C et al. (1995)"
58-18-4, ,C20H30O2,17-a-Methyl testosterone,3.36,3.72,0.36,"Hansch,C et al. (1995)"
58-19-5, ,C20H32O2,Dromostanolone,3.99,3.48,-0.51,"Hansch,C et al. (1995)"
58-22-0, ,C19H28O2,Testosterone,3.32,3.27,-0.05,"Hansch,C et al. (1995)"
58-25-3,T,C16H14CL1N3O1,Librium,2.44,2.42,-0.02,"Hansch,C et al. (1995)"
58-27-5,T,C11H8O2,"2-Methyl-1,4-naphthoquinone",2.2,2.21,0.01,"Hansch,C et al. (1995)"
58-37-7, ,C19H25N3S1,Aminopromazine,4.76,3.69,-1.07,"Hansch,C et al. (1995)"
58-38-8,N,C20H24CL1N3S1,Prochloroperazine,4.88,4.79,-0.09,"Hansch,C et al. (1995)"
58-39-9,T,C21H26CL1N3O1S1,Perphenazine,4.2,3.82,-0.38,"Hansch,C et al. (1995)"
58-40-2,T,C17H20N2S1,Promazine,4.55,4.56,0.01,"Hansch,C et al. (1995)"
58-55-9, ,C7H8N4O2,Theophylline,-0.02,-0.39,-0.37,"Hansch,C et al. (1995)"
58-61-7, ,C10H13N5O4,Adenosine,-1.05,-1.38,-0.33,"Hansch,C et al. (1995)"
58-63-9, ,C10H12N4O5,Inosine,-1.85,-1.84,0.01,"Andersson,JT & Schrader,W (1999)"
58-71-9,N,C16H15N2O6S2Na1,"Cephalothin, sodium",-2.2,-4.07,-1.87,Sangster (1994)
58-73-1,T,C17H21N1O1,Diphenhydramine,3.27,3.11,-0.16,"Hansch,C et al. (1995)"
58-74-2,N,C20H21N1O4,Papaverine,2.95,3.69,0.74,"Avdeef,A (1997)"
58-89-9, ,C6H6CL6,gamma-Hexachlorocyclohexane,3.72,4.26,0.54,"Hansch,C et al. (1995)"
58-90-2,T,C6H2CL4O1,"2,3,4,6-Tetrachlorophenol",4.45,4.09,-0.36,"Hansch,C et al. (1995)"
58-93-5,T,C7H8CL1N3O4S2,Hydrochlorothiazide,-0.07,-0.1,-0.03,"Hansch,C et al. (1995)"
58-94-6,T,C7H6CL1N3O4S2,Chlorothiazide,-0.24,-0.23,0.01,"Hansch,C et al. (1995)"
58-96-8,T,C9H12N2O6,Uridine,-1.98,-1.86,0.12,"Hansch,C et al. (1995)"
59-05-2,N,C20H22N8O5,Methotrexate,-1.85,-1.28,0.57,"Hansch,C et al. (1995)"
59-07-4, ,C9H11N1O3,2-Ethoxy-4-aminobenzoic acid,0.99,1.19,0.2,"Hansch,C et al. (1995)"
59-14-3,T,C9H11Br1N2O5,5-Bromodeoxyuridine,-0.29,-0.8,-0.51,"Hansch,C et al. (1995)"
59-26-7,T,C10H14N2O1,Nikethamide,0.33,0.52,0.19,"Hansch,C et al. (1995)"
59-31-4, ,C9H7N1O1,2-(1H)-Quinolinone,1.26,1.32,0.06,"Hansch,C et al. (1995)"
59-40-5,N,C14H12N4O2S1,Sulfaquinoxaline,1.68,0.84,-0.84,"Hansch,C et al. (1995)"
59-42-7, ,C9H13N1O2,Phenylephrine,-0.31,-0.21,0.1,"Hansch,C et al. (1995)"
59-46-1,T,C13H20N2O2,Procaine,2.14,1.99,-0.15,"Avdeef,A (1997)"
59-47-2,T,C10H14O3,"1,2-Propanediol-3-(2-tolyloxy)",1.41,1.41,0.0,"Hansch,C et al. (1995)"
59-48-3,T,C8H7N1O1,Oxindole,1.16,1.04,-0.12,"Hansch,C et al. (1995)"
59-49-4, ,C7H5N1O2,o-Phenylene carbamate,1.16,0.95,-0.21,"Hansch,C et al. (1995)"
59-50-7,T,C7H7CL1O1,3-Methyl-4-chlorophenol,3.1,2.7,-0.4,"Hansch,C et al. (1995)"
59-61-0,N,C11H15CL2N1O1,Dichlorisoproterenol,3.32,2.46,-0.86,"Hansch,C et al. (1995)"
59-63-2, ,C12H13N3O2,Isocarboxazid,1.49,1.32,-0.17,"Hansch,C et al. (1995)"
59-66-5, ,C4H6N4O3S2,Acetazoleamide,-0.26,-0.72,-0.46,"Hansch,C et al. (1995)"
59-67-6,N,C6H5N1O2,3-Pyridinecarboxylic acid,0.36,0.69,0.33,Sangster (1993)
59-87-0,T,C6H6N4O4,Nitrofurazone,0.23,0.23,0.0,"Hansch,C et al. (1995)"
59-89-2,T,C4H8N2O2,N-Nitrosomorpholine,-0.44,-0.43,0.01,"Hansch,C et al. (1995)"
59-92-7,N,C9H11N1O4,"L-Tyrosine, 3-hydroxy-",-2.39,-2.24,0.15,Sangster (1993)
59-98-3,N,C10H12N2,"1H-Imidazole, 4,5-diH-2-(PhMe)-",2.65,2.34,-0.31,Sangster (1993)
60-09-3,N,C12H11N3,"Benzenamine, 4-(phenylazo)-",3.41,3.19,-0.22,"Hansch,C et al. (1995)"
60-11-7,T,C14H15N3,"4-(N,N-Dimethylamino)azobenzene",4.58,4.29,-0.29,"Hansch,C et al. (1995)"
60-12-8,T,C8H10O1,2-Phenylethanol,1.36,1.57,0.21,"Hansch,C et al. (1995)"
60-17-3, ,C9H10F1N1O2,dl-p-Fluorophenylalanine,-1.89,-1.08,0.81,"Hansch,C et al. (1995)"
60-18-4,T,C9H11N1O3,Tyrosine,-2.26,-1.76,0.5,"Hansch,C et al. (1995)"
60-27-5, ,C4H7N3O1,Creatinine,-1.76,-1.21,0.55,"Hansch,C et al. (1995)"
60-29-7,T,C4H10O1,Diethyl ether,0.89,1.05,0.16,"Hansch,C et al. (1995)"
60-32-2,T,C6H13N1O2,6-Aminohexanoic acid,-2.95,-2.62,0.33,"Hansch,C et al. (1995)"
60-33-3,N,C18H32O2,"9,12-Octadecadienoic acid (Z,Z)-",7.05,7.51,0.46,Sangster (1993)
60-34-4,T,C1H6N2,Methyl hydrazine,-1.05,-1.0,0.05,"Hansch,C et al. (1995)"
60-35-5,T,C2H5N1O1,Acetamide,-1.26,-1.16,0.1,"Hansch,C et al. (1995)"
60-51-5,T,C5H12N1O3P1S2,Dimethoate,0.78,0.28,-0.5,"Hansch,C et al. (1995)"
60-54-8, ,C22H24N2O8,Tetracycline,-1.3,-1.33,-0.03,"Hansch,C et al. (1995)"
60-56-0,N,C4H6N2S1,Methimazole,-0.34,-0.49,-0.15,"Hansch,C et al. (1995)"
60-57-1, ,C12H8CL6O1,Dieldrin,5.4,5.45,0.05,"DeBruijn,J et al. (1989)"
60-80-0, ,C11H12N2O1,Antipyrine,0.38,0.59,0.21,"Hansch,C et al. (1995)"
60-87-7,T,C17H20N2S1,Promethazine,4.81,4.49,-0.32,"Hansch,C et al. (1995)"
60-91-3,N,C18H22N2S1,"10H-Phenothiazine-10-ethanamine,N,N-diEt",5.94,5.7,-0.24,Sangster (1994)
60-92-4, ,C10H12N5O6P1,cyclic AMP,-2.96,-2.36,0.6,"Hansch,C et al. (1995)"
60-99-1, ,C19H24N2O1S1,Methotrimeprazine,4.68,5.06,0.38,"Hansch,C et al. (1995)"
61-01-8, ,C18H22N2O1S1,Methoxypromazine,4.9,4.64,-0.26,"Hansch,C et al. (1995)"
61-32-5, ,C17H20N2O6S1,Methicillin,1.22,2.2,0.98,"Hansch,C et al. (1995)"
61-33-6, ,C16H18N2O4S1,Benzylpenicillin,1.83,1.85,0.02,"Hansch,C et al. (1995)"
61-54-1,N,C10H12N2,Tryptamine,1.55,1.27,-0.28,"Hansch,C et al. (1995)"
61-57-4,T,C6H6N4O3S1,Niridazole,0.95,1.17,0.22,"Hansch,C et al. (1995)"
61-68-7, ,C15H15N1O2,"N-Ph-anthranilic acid,2',3'-dimethyl",5.12,5.28,0.16,"Hansch,C et al. (1995)"
61-72-3,N,C19H18CL1N3O5S1,Cloxacillin,2.48,3.22,0.74,Sangster (1994)
61-78-9,N,C9H10N2O3,"Glycine, N-(4-aminobenzoyl)-",-0.89,-0.46,0.43,"Fleck,C & Braunlich,H (1990)"
61-80-3,T,C7H5CL1N2O1,Zoxazolamine,2.46,2.06,-0.4,"Hansch,C et al. (1995)"
61-82-5,N,C2H4N4,"1H-1,2,4-Triazol-3-amine",-0.86,-0.47,0.39,Sangster (1994)
61-90-5,T,C6H13N1O2,Leucine,-1.52,-1.59,-0.07,"Hansch,C et al. (1995)"
62-23-7,T,C7H5N1O4,p-Nitrobenzoic acid,1.89,1.69,-0.2,"Hansch,C et al. (1995)"
62-37-3, ,C5H11CL1N2O2Hg1,Chlormerodrin,-0.8,-1.39,-0.59,"Halbach,S (1985)"
62-38-4,T,C8H8Hg1O2,Phenylmercuric acetate,0.71,0.89,0.18,"Hansch,C et al. (1995)"
62-44-2, ,C10H13N1O2,4-Ethoxyacetanilide,1.58,1.67,0.09,"Nakagawa,Y et al. (1992)"
62-53-3,T,C6H7N1,Aniline,0.9,1.08,0.18,"Hansch,C et al. (1995)"
62-55-5,N,C2H5N1S1,Ethanethioamide,-0.26,-0.83,-0.57,"Hansch,C et al. (1995)"
62-56-6,T,C1H4N2S1,Thiourea,-1.08,-1.31,-0.23,"Govers,H et al. (1986)"
62-67-9, ,C19H21N1O3,Nalorphine,1.86,1.56,-0.3,"Hansch,C et al. (1995)"
62-73-7, ,C4H7CL2O4P1,Dichlorvos,1.47,0.6,-0.87,"Bowman,BT & Sans,WW (1983)"
62-75-9,T,C2H6N2O1,N-Nitrosodimethylamine,-0.57,-0.64,-0.07,"Hansch,C et al. (1995)"
63-05-8,T,C19H26O2,Androstenedione,2.75,2.76,0.01,"Hansch,C et al. (1995)"
63-25-2,T,C12H11N1O2,1-Naphthyl-N-methylcarbamate,2.36,2.35,-0.01,"Hansch,C et al. (1995)"
63-68-3,T,C5H11N1O2S1,Methionine,-1.87,-2.41,-0.54,"Hansch,C et al. (1995)"
63-74-1,T,C6H8N2O2S1,Sulfanilamide,-0.62,-0.55,0.07,"Hansch,C et al. (1995)"
63-75-2, ,C8H13N1O2,Arecoline,0.35,0.78,0.43,"Hansch,C et al. (1995)"
63-84-3,N,C9H11N1O4,Dopa,-2.74,-2.24,0.5,"Hansch,C et al. (1995)"
