CAS,Name,Mol Wt,Boiling Pt (deg C),Reference
60-56-0,METHIMAZOLE,114.1698,280      ,
60-57-1,DIELDRIN,380.915,330,
60-80-0,ANTIPYRINE,188.2311,319,
62-44-2,P-PHENACETIN,179.2206,243.5,Sax
62-46-4,"1,2-DITHIOLANE-3-PENTANOIC ACID",206.3276,162.5  ,
62-50-0,ETHYL METHANESULFONATE,124.1594,213.5,Merck Index
62-53-3,ANILINE,93.1294,184.1,
62-73-7,DICHLORVOS,220.9778,234.1     ,
62-75-9,N-NITROSODIMETHYLAMINE,74.0829,154,
63-25-2,1-NAPHTHYL-N-METHYLCARBAMATE,201.227,315,
63-75-2,ARECOLINE,155.1983,209,
64-04-0,2-PHENYLETHYLAMINE,121.1836,197.5,
64-10-8,PHENYLUREA,136.1546,238,
64-17-5,ETHANOL,46.0695,78.2,
64-18-6,FORMIC ACID,46.0259,101,
64-19-7,ACETIC ACID,60.053,117.9,
64-67-5,DIETHYL SULFATE,154.1859,208,
65-45-2,O-HYDROXYBENZAMIDE,137.1393,181.5,
65-85-0,BENZOIC ACID,122.1247,249.2,
66-25-1,HEXANAL,100.1619,131,
66-27-3,METHYL METHANE SULFONATE,110.1323,203,
66-71-7,O-PHENANTHROLINE,180.211,> 300,
66-77-3,1-Naphthalenecarboxaldehyde,156.1858,292,
67-51-6,"1H-PYRAZOLE, 3,5-DIMETHYL-",96.1329,218,
67-56-1,METHANOL,32.0424,64.7,Merck Index (1996)
67-62-9,O-METHYLHYDROXYLAMINE,47.0571,49.5,
67-63-0,ISOPROPANOL,60.0966,82.3,
67-64-1,ACETONE,58.0807,56.0,CRC Handbook
67-66-3,CHLOROFORM,119.3781,61.1,
67-68-5,DIMETHYL SULFOXIDE,78.1335,189,Merck Index (2001)
67-71-0,DIMETHYL SULFONE,94.1329,238,
68-12-2,"N,N'-DIMETHYLFORMAMIDE",73.0953,153,
70-30-4,HEXACHLOROPHENE,406.9096,479,
70-34-8,"1-FLUORO-2,4-DINITROBENZENE",186.1002,296,
71-23-8,1-PROPANOL,60.0966,97.2,
71-36-3,1-BUTANOL,74.1237,117.7,
71-41-0,1-PENTANOL,88.1508,137.9,
71-43-2,BENZENE,78.1147,80.0,
71-55-6,"1,1,1-TRICHLOROETHANE",133.4052,74.0,
72-43-5,METHOXYCHLOR,345.6558,346,
72-48-0,ALIZARINE,240.2175,430      ,
72-54-8,"P,P'-DDD",320.0478,350,
72-55-9,"P,P'-DDE",318.0319,336,
74-82-8,METHANE,16.043,-161.5,
74-83-9,METHYL BROMIDE,94.9391,3.5,
74-84-0,ETHANE,30.0701,-88.6,
74-85-1,ETHYLENE,28.0542,-103.7,
74-86-2,ACETYLENE,26.0382,-84.7,
74-87-3,METHYL CHLORIDE,50.4881,-24.0,
74-88-4,METHYL IODIDE,141.9395,42.5,
74-89-5,METHYLAMINE,31.0577,-6.3,Merck Index
74-90-8,HYDROCYANIC ACID,27.0258,25.6,Merck Index
74-93-1,METHANETHIOL,48.107,5.9,
74-95-3,DIBROMOMETHANE,173.8351,97,
74-96-4,BROMOETHANE,108.9662,38.5,
74-97-5,CHLOROBROMOMETHANE,129.3841,68.0,
74-98-6,PROPANE,44.0972,-42.1,
74-99-7,PROPYNE,40.0653,-23.2,
75-00-3,CHLOROETHANE,64.5152,12.3,
75-01-4,VINYLCHLORIDE,62.4992,-13.3,
75-02-5,VINYLFLUORIDE,46.0446,-72,
75-03-6,IODOETHANE,155.9665,72.5,
75-04-7,ETHYLAMINE,45.0848,16.6,Merck Index
75-05-8,ACETONITRILE,41.0529,81.6,
75-07-0,ACETALDEHYDE,44.0536,20.1,
75-08-1,ETHYL MERCAPTAN,62.1341,35.1,CRC Handbook
75-09-2,DICHLOROMETHANE,84.9331,40,
75-10-5,DIFLUOROMETHANE,52.0239,-51.6,
75-11-6,METHYLENE IODIDE,267.8359,182,
75-12-7,FORMAMIDE,45.0412,220,
75-15-0,CARBON DISULFIDE,76.1392,46,
75-18-3,DIMETHYLSULFIDE,62.1341,37.3,
75-19-4,CYCLOPROPANE,42.0813,-32.8,
75-21-8,ETHYLENE OXIDE,44.0536,10.6,
75-22-9,BORINE TRIMETHYLAMINE,72.9468,172,
75-24-1,TRIMETHYLALUMINIUM,72.0867,130,
75-25-2,BROMOFORM,252.7311,149.1,
75-26-3,2-BROMOPROPANE,122.9932,59.5,
75-27-4,BROMODICHLOROMETHANE,163.8291,90,
75-28-5,2-METHYLPROPANE,58.1243,-11.7,CRC Handbook
75-29-6,2-CHLOROPROPANE,78.5422,35.7,
75-30-9,2-IODOPROPANE,169.9936,89.5,
75-31-0,ISOPROPYLAMINE,59.1119,31.7,
75-33-2,2-PROPANETHIOL,76.1612,52.5,CRC Handbook
75-34-3,"1,1-DICHLOROETHANE",98.9602,57.4,
75-35-4,"1,1-DICHLOROETHENE",96.9442,31.6,
75-36-5,ACETYLCHLORIDE,78.4986,50.7,
75-37-6,"1,1-DIFLUOROETHANE",66.051,-24.9,
75-38-7,"1,1-DIFLUOROETHENE",64.035,-85.7,
75-43-4,DICHLOROFLUOROMETHANE,102.9235,8.9,
75-44-5,PHOSGENE,98.9166,8.2,Merck Index
75-45-6,CHLORODIFLUOROMETHANE,86.4689,-40.7,
75-46-7,TRIFLUOROMETHANE,70.0143,-82.1,
75-47-8,IODOFORM,393.7323,218,
75-50-3,TRIMETHYLAMINE,59.1119,2.87,Merck Index
75-52-5,NITROMETHANE,61.0406,101.1,CRC Handbook
75-54-7,DICHLOROMETHYLSILANE,115.035,41,
75-55-8,2-METHYLAZIRIDINE,57.0959,67,
75-56-9,PROPYLENE OXIDE,58.0807,35,
75-60-5,CACODYLIC ACID,137.9985,> 200,
75-61-6,DIBROMODIFLUOROMETHANE,209.8159,25,
75-62-7,BROMOTRICHLOROMETHANE,198.2742,105,
75-63-8,BROMOTRIFLUOROMETHANE,148.9103,-57.8,
75-64-9,T-BUTYLAMINE,73.139,45,Merck Index
75-65-0,T-BUTANOL,74.1237,82.4,
75-66-1,2-METHYL-2-PROPANETHIOL,90.1883,64.0,SAX
75-68-3,"1-CHLORO-1,1-DIFLUOROETHANE",100.496,-9.7,
75-69-4,TRICHLOROFLUOROMETHANE,137.3686,23.7,
75-71-8,DICHLORODIFLUOROMETHANE,120.914,-29.8,
75-72-9,CHLOROTRIFLUOROMETHANE,104.4594,-81.4,
75-73-0,TETRAFLUOROMETHANE,88.0048,-128.0,
75-74-1,TETRAMETHYL LEAD,267.3302,110,
75-76-3,TETRAMETHYLSILANE,88.2262,26.6,
75-77-4,CHLOROTRIMETHYLSILANE,108.6442,60,
75-78-5,DICHLORODIMETHYLSILANE,129.0621,70.3,
75-79-6,METHYLTRICHLOROSILANE,149.4801,65.6,
75-81-0,"Ethane, 1,2-dibromo-1,1-dichloro-",256.7522,195,
75-82-1,"1,2-Dibromo-1,1-difluoroethane",223.843,92.5,
75-83-2,"2,2-DIMETHYLBUTANE",86.1785,49.7,
75-84-3,"2,2-DIMETHYL-1-PROPANOL",88.1508,113.5,
75-85-4,2-METHYL-2-BUTANOL,88.1508,102.4,CRC Handbook
75-86-5,ACETONE CYANOHYDRIN,85.1065,171,
75-87-6,TRICHLOROACETALDEHYDE,147.3887,97.8,
75-88-7,"1,1,1-TRIFLUORO-2-CHLOROETHANE",118.4864,6.1,
75-89-8,"2,2,2-TRIFLUOROETHANOL",100.0408,74,
75-94-5,VINYLTRICHLOROSILANE,161.4912,91.5,
75-96-7,"Acetic acid, tribromo-",296.7411,245 dec,
75-97-8,"3,3-DIMETHYL-2-BUTANONE",100.1619,106.1,CRC Handbook
75-98-9,"2,2-Dimethyl propanoic acid",102.1343,164,
75-99-0,DALAPON,142.9701,187.5,
76-00-6,"1,1,1-Trichloro-2-propanol",163.4317,163,
76-01-7,PENTACHLOROETHANE,202.2953,159.8,
76-02-8,TRICHLORACETYLCHLORIDE,181.8337,117.9,
76-03-9,TRICHLOROACETIC ACID,163.3881,196.5,
76-04-0,"Acetic acid, chlorodifluoro-",130.4789,122,
76-05-1,TRIFLUOROACETIC ACID,114.0243,73,Merck Index
76-06-2,TRICHLORONITROMETHANE,164.3757,112,
76-09-5,PINACOL,118.1773,174.4,
76-11-9,"1,1,1,2-TETRACHLORO-2,2-DIFLUOROETHANE",203.8311,91.5,
76-12-0,"1,1,2,2,-TETRACHLORODIFLUOROETHANE",203.8311,93,
76-13-1,"1,1,2-TRICHLOROTRIFLUOROETHANE",187.3765,47.7,
76-14-2,"1,2-DICHLOROTETRAFLUOROETHANE",170.9219,3.8,
76-15-3,CHLOROPENTAFLUOROETHANE,154.4673,-37.9,
76-16-4,HEXAFLUOROETHANE,138.0127,-78.1,
76-17-5,"Propane, 1,2,3-trichloro-1,1,2,3,3-pentafluoro-",237.3845,73.7,
76-19-7,OCTAFLUOROPROPANE,188.0206,-36.6,
76-22-2,CAMPHOR,152.2384,204,
76-29-9,3-Bromo-d-camphor,231.1345,274,
76-35-7,"1,3-Butanediol, 2,2-dimethyl-",118.1773,208,"JORDAN,TE (1954)"
76-36-8,"a,a,b-Trichloro-n-butyraldehyde",175.4429,164,
76-37-9,"2,2,3,3-TETRAFLUOROPROPANOL",132.0583,109.5,
76-38-0,METHOXYFLURANE,164.9675,105       ,
76-44-8,HEPTACHLOR,373.3224,310,
76-49-3,BORNYL ACETATE,196.292,221,
76-83-5,"BENZENE, 1,1',1''-(CHLOROMETHYLIDYNE)TRIS-",278.7844,310,
76-84-6,TRIPHENYLCARBINOL,260.3388,380,
77-25-8,"Propanedioic acid, diethyl-, diethyl ester",216.2797,230,
77-47-4,HEXACHLOROCYCLOPENTADIENE,272.7738,239,
77-73-6,DICYCLOPENTADIENE,132.2071,170,
77-74-7,3-METHYL-3-PENTANOL,102.1779,122.4,
77-75-8,METHYL PENTYNOL,98.146,120.5,
77-76-9,"2,2-DIMETHOXYPROPANE",104.1502,83,
77-77-0,"1,1'-SULFONYLBISETHENE",118.1552,234.5,
77-78-1,DIMETHYLSULFATE,126.1317,188 dec,Merck Index
77-81-6,TABUN,162.1294,240,Merck Index (2001)
77-83-8,"Oxiranecarboxylic acid, 3-methyl-3-phenyl-, ethy",206.2436,273.5,
77-84-9,"2-Ethyl-2-methyl-1,3-propanediol",118.1773,225.8,
77-85-0,"1,3-Propanediol, 2-(hydroxymethyl)-2-methyl-",120.1496,283,
77-93-0,TRIETHYL CITRATE,276.289,294,
77-99-6,"1,1,1-TRIS(HYDROXYMETHYL)PROPANE",134.1767,289,
78-00-2,TETRAETHYL LEAD,323.4386,202,
78-07-9,Ethyl triethoxysilane,192.3328,158.5,
78-09-1,"ETHANE, 1,1',1'',1'''-[METHANETETRAYLTETRAKIS(OX",192.2574,159.5,
78-10-4,ETHYL SILICATE,208.3322,168.8,
78-26-2,"1,3-Propanediol, 2-methyl-2-propyl-",132.2044,234,
78-27-3,1-ETHYNYL CYCLOHEXANOL,124.1842,174,
78-30-8,TRI-O-CRESYL PHOSPHATE,368.3729,410,
78-35-3,"3,7-Dimethyl-1,6-octadien-3-yl isobutyrate",224.3462,229,ChemFinder (2005)
78-38-6,"Phosphonic acid, ethyl-, diethyl ester",166.1585,198,
78-39-7,"Ethane, 1,1,1-triethoxy-",162.2309,145,
78-40-0,TRIETHYL PHOSPHATE,182.1579,215.5,
78-48-8,TRIBUFOS,314.5142,210,Tomlin (2003)
78-59-1,ISOPHORONE,138.2113,215.2,
78-62-6,DIMETHYL DIETHOXYSILANE,148.2792,114,
78-66-0,"4-Octyne-3,6-diol, 3,6-dimethyl-",170.2538,135,"FLICK,EW (1991)"
78-70-6,LINALOOL,154.2544,197,
78-74-0,"Ethane, 1,1,2-tribromo-",266.7582,188.93,
78-75-1,"1,2-DIBROMOPROPANE",201.8893,141.9,
78-76-2,2-BROMOBUTANE,137.0203,91.2     ,
78-77-3,ISOBUTYL BROMIDE,137.0203,91.1,
78-78-4,ISOPENTANE,72.1514,27.8,
78-79-5,"2-METHYL-1,3-BUTADIENE",68.1195,34.0,
78-80-8,"1-BUTEN-3-YNE, 2-METHYL-",66.1036,32,
78-81-9,ISOBUTYLAMINE,73.139,68.5,Merck Index
78-82-0,2-METHYLPROPANENITRILE,69.1071,103.9,
78-83-1,ISOBUTYL ALCOHOL,74.1237,107.8,
78-84-2,ISOBUTYRALDEHYDE,72.1078,64.5,
78-85-3,METHACROLEIN,70.0918,68.4,
78-86-4,2-CHLOROBUTANE,92.5693,68       ,
78-87-5,"1,2-DICHLOROPROPANE",112.9873,95.5,
78-88-6,"2,3-DICHLOROPROPENE",110.9713,94,
78-89-7,2-CHLORO-1-PROPANOL,94.5416,133.5,
78-90-0,"1,2-DIAMINOPROPANE",74.1266,119.5,
78-91-1,2-Aminopropanol,75.1113,174,
78-92-2,2-BUTANOL,74.1237,99.5,
78-93-3,2-BUTANONE,72.1078,79.5,CRC Handbook
78-94-4,METHYLVINYLKETONE,70.0918,81.4,
78-95-5,CHLOROACETONE,92.5257,119,
78-96-6,1-AMINO-2-PROPANOL,75.1113,160,
78-97-7,2-HYDROXYPROPANENITRILE,71.0794,183,
78-98-8,METHYL GLYOXAL,72.0641,72,Merck Index
78-99-9,"1,1-Dichloropropane",112.9873,88.1,
79-00-5,"1,1,2-TRICHLOROETHANE",133.4052,113.8,
79-01-6,TRICHLOROETHENE,131.3893,87.2,
79-02-7,DICHLOROACETALDEHYDE,112.9436,89.2,
79-03-8,Propanoyl chloride,92.5257,80,
79-04-9,CHLOROACETYLCHLORIDE,112.9436,106,
79-05-0,PROPRIONAMIDE,73.0953,213,
79-06-1,ACRYLAMIDE,71.0794,192.6,
79-07-2,CHLOROACETAMIDE,93.5133,225,
79-08-3,BROMOACETIC ACID,138.949,208,
79-09-4,PROPIONIC ACID,74.0801,141.1,
79-10-7,ACRYLIC ACID,72.0641,141.2,
79-11-8,CHLOROACETIC ACID,94.498,189.3,
79-16-3,N-METHYLACETAMIDE,73.0953,205,
79-20-9,METHYL ACETATE,74.0801,56.8,
79-21-0,PEROXYACETIC ACID,76.0524,110,
79-22-1,METHYL CHLOROFORMATE,94.498,70.5,
79-24-3,NITROETHANE,75.0677,114.0,
79-27-6,"1,1,2,2-TETRABROMOETHANE",345.6542,243.5,
79-28-7,"Ethene, tetrabromo-",343.6383,226,
79-29-8,"2,3-DIMETHYLBUTANE",86.1785,57.9,
79-30-1,"Propanoyl chloride, 2-methyl-",106.5528,92,
79-31-2,ISOBUTYRIC ACID,88.1072,154.4,
79-34-5,"1,1,2,2-TETRACHLOROETHANE",167.8502,146.5,
79-35-6,"1,1-DICHLORO-2,2-DIFLUOROETHYLENE",132.9251,19,
79-36-7,DICHLOROACETYL CHLORIDE,147.3887,108,
79-37-8,Ethanedioyl dichloride,126.9271,63.5,
79-38-9,CHLOROTRIFLUOROETHYLENE,116.4705,-27.8,
79-41-4,METHACRYLIC ACID,86.0912,163      ,
79-43-6,DICHLOROACETIC ACID,128.943,194,
79-44-7,DIMETHYLCARBAMYL CHLORIDE,107.5404,167,
79-46-9,2-NITROPROPANE,89.0947,120.2,CRC Handbook
79-53-8,CHLOROPENTAFLUOROACETONE,182.4779,8,
79-55-0,"Piperidine, 1,2,2,6,6-pentamethyl-",155.2856,147,
79-92-5,CAMPHENE,136.239,160,
80-10-4,DICHLORODIPHENYLSILANE,253.2055,305,
80-43-3,"PEROXIDE, BIS(1-METHYL-1-PHENYLETHYL)",270.3748,396,
80-46-6,P-TERT-AMYLPHENOL,164.2496,262.5,
80-48-8,"Benzenesulfonic acid, 4-methyl-, methyl ester",186.2311,292,
80-55-7,"PROPANOIC ACID, 2-HYDROXY-2-METHYL-, ETHYL ESTER",132.1607,150,
80-56-8,ALPHA-PINENE,136.239,155.9,
80-59-1,TIGLIC ACID,100.1183,198.5,
80-62-6,METHYL METHACRYLATE,100.1183,100.5,
80-73-9,"1,3-Dimethyl-2-imidazolidinone",114.1483,221,
81-20-9,"1,3-DIMETHYL-2-NITROBENZENE",151.1664,226,
82-68-8,PENTACHLORONITROBENZENE,295.3374,328      ,Merck Index
83-25-0,N-PHENYLSUCCINIMIDE,175.1887,400,
83-32-9,ACENAPHTHENE,154.2135,279,
83-33-0,"1H-Inden-1-one, 2,3-dihydro-",132.1635,243,
83-34-1,3-METHYLINDOLE,131.1788,266,
83-41-0,"1,2-DIMETHYL-3-NITROBENZENE",151.1664,240,
83-42-1,"BENZENE, 1-CHLORO-2-METHYL-3-NITRO-",171.5844,238,
83-53-4,"Naphthalene, 1,4-dibromo-",285.9673,310,
84-11-7,"9,10-PHENANTHRENEDIONE",208.2187,360      ,
84-15-1,O-TERPHENYL,230.3123,332,
84-65-1,ANTHRAQUINONE,208.2187,377,Merck (2001)
84-66-2,DIETHYL PHTHALATE,222.243,295,
84-69-5,DI-ISOBUTYLPHTHALATE,278.3513,296,
84-74-2,DIBUTYL PHTHALATE,278.3513,340,
84-95-7,"1-Naphthalenamine, N,N-diethyl-",199.2983,285,
85-01-8,PHENANTHRENE,178.2358,340,
85-02-9,BENZO(F)QUINOLINE,179.2234,352,
85-44-9,PHTHALIC ANHYDRIDE,148.1193,295,
85-52-9,2-Benzoylbenzoic acid,226.234,257-265,ALDRICH (2000)
85-68-7,BUTYL BENZYL PHTHALATE,312.3689,370,
85-91-6,"Benzoic acid, 2-(methylamino)-, methyl ester",165.1935,255,
86-00-0,2-Nitrobiphenyl,199.211,320,
86-26-0,"1,1'-Biphenyl, 2-methoxy-",184.24,274,
86-52-2,"Naphthalene, 1-(chloromethyl)-",176.6474,291.5,
86-53-3,1-Naphthalenecarbonitrile,153.1851,299,
86-55-5,1-NAPTHOIC ACID,172.1852,300      ,
86-56-6,"1-NAPHTHALENAMINE, N,N-DIMETHYL-",171.2441,280,
86-57-7,1-NITRONAPHTHALENE,173.1728,304      ,
86-73-7,9H-FLUORENE,166.2247,295,
86-74-8,CARBAZOLE,167.2122,354.7,
86-84-0,"Naphthalene, 1-isocyanato-",169.1845,269,
87-19-4,"Benzoic acid, 2-hydroxy-, 2-methylpropyl ester",194.2324,261,
87-20-7,"Benzoic acid, 2-hydroxy-, 3-methylbutyl ester",208.2595,278,
87-24-1,"Benzoic acid, 2-methyl-, ethyl ester",164.2059,227,
87-25-2,"O-AMINOBENZOIC ACID, ETHYL ESTER",165.1935,268,CRC Handbook
87-40-1,"2,4,6-TRICHLOROANISOLE",211.4763,241,
87-41-2,PHTHALIDE,134.1358,290,
87-59-2,"2,3-DIMETHYLANILINE",121.1836,221.5,
87-60-5,2-METHYL-3-CHLOROANILINE,141.6015,245,
87-61-6,"1,2,3-TRICHLOROBENZENE",181.4498,218.5,
87-62-7,"2,6-DIMETHYLANILINE",121.1836,215,
87-63-8,"Benzenamine, 2-chloro-6-methyl-",141.6015,215,ALDRICH (2000)
87-64-9,2-METHYL-6-CHLOROPHENOL,142.5862,189,
87-65-0,"2,6-DICHLOROPHENOL",163.0042,220,
87-66-1,"1,2,3-TRIHYDROXYBENZENE",126.1129,309,
87-68-3,HEXACHLOROBUTADIENE,260.7626,215,
87-85-4,HEXAMETHYLBENZENE,162.2773,263.4,
87-86-5,PENTACHLOROPHENOL,266.3393,309.5,
87-91-2,"TARTARIC ACID, DIETHYL ESTER",206.1972,280      ,
87-92-3,"Butanedioic acid, 2,3-dihydroxy-,dibutyl ester",262.3055,320,
87-99-0,Xylitol,152.1484,216,
88-04-0,"4-CHLORO-3,5-DIMETHYL PHENOL",156.6133,246,
88-05-1,"Benzenamine, 2,4,6-trimethyl-",135.2107,232.5,
88-06-2,"2,4,6-TRICHLOROPHENOL",197.4492,246,
88-09-5,2-ETHYLBUTYRIC ACID,116.1613,194,
88-10-8,"Carbamic chloride, diethyl-",135.5946,186,
88-14-2,2-FURANCARBOXYLIC ACID,112.0858,231,
88-15-3,2-ACETYLTHIOPHENE,126.1781,213.5,
88-16-4,CHLORO(TRIFLUOROMETHYL)BENZENE,180.5581,152.2,
88-17-5,"BENZENAMINE, 2-(TRIFLUOROMETHYL)-",161.1278,187,
88-18-6,O-T-BUTYLPHENOL,150.2225,223,
88-68-6,"BENZAMIDE, 2-AMINO-",136.1546,300,Merck Index
88-69-7,O-ISOPROPYLPHENOL,136.1954,213.5,
88-72-2,2-NITROTOLUENE,137.1393,222,
88-73-3,2-CHLORO-1-NITROBENZENE,157.5573,245.5,Hawley
88-74-4,2-NITROANILINE,138.1269,284,CRC Handbook
88-75-5,2-NITROPHENOL,139.1117,216,
88-85-7,DINOSEB,240.2175,332,
88-95-9,PHTHALOYL CHLORIDE,203.0259,281.1,
89-48-5,Menthyl Acetate,198.3079,227,
89-58-7,"Benzene, 1,4-dimethyl-2-nitro-",151.1664,240.5,
89-59-8,"BENZENE, 4-CHLORO-1-METHYL-2-NITRO-",171.5844,242,
89-60-1,"Benzene, 1-chloro-4-methyl-2-nitro-",171.5844,261,
89-61-2,"2,5-DICHLORONITROBENZENE",192.0023,267,
89-68-9,CHLOROTHYMOL,184.6675,258.5,
89-69-0,"2,4,5-TRICHLORONITROBENZENE",226.4473,288,
89-71-4,"O-TOLUIC ACID, METHYL ESTER",150.1789,215,
89-72-5,O-SEC-BUTYLPHENOL,150.2225,228,
89-74-7,"Ethanone, 1-(2,4-dimethylphenyl)-",148.2065,228,
89-78-1,MENTHOL,156.2703,212      ,
89-81-6,Piperitone,152.2384,233,
89-82-7,Pulegone,152.2384,224,
89-83-8,THYMOL,150.2225,232.5,
89-87-2,4-NITRO-M-XYLENE,151.1664,247,
89-92-9,"BENZENE, 1-(BROMOMETHYL)-2-METHYL-",185.0649,217,
89-93-0,"Benzenemethanamine, 2-methyl-",121.1836,206,
89-95-2,"BENZENEMETHANOL, 2-METHYL-",122.1683,224,
89-96-3,"BENZENE, 1-CHLORO-2-ETHYL-",140.6139,178.4,
89-98-5,2-CHLOROBENZALDEHYDE,140.5703,211.9,
90-00-6,O-ETHYLPHENOL,122.1683,204.5,
90-02-8,O-HYDROXYBENZALDEHYDE,122.1247,197,
90-04-0,2-METHOXYANILINE,123.1559,224,
90-05-1,2-METHOXYPHENOL,124.1406,205,
90-11-9,1-BROMONAPHTHALENE,207.0713,281,
90-12-0,1-METHYLNAPHTHALENE,142.2024,244.7,
90-13-1,1-CHLORONAPHTHALENE,162.6203,259,
90-14-2,1-IODONAPHTHALENE,264.1514,302,
90-15-3,1-NAPHTHOL,144.1747,288,Merck (2001)
90-27-7,"Benzeneacetic acid, .alpha.-ethyl-",164.2059,271,
90-39-1,L-SPARTEINE,234.3879,325,
90-41-5,2-AMINOBIPHENYL,169.2282,299,
90-42-6,"1,1'-Bicyclohexyl -2-one",180.2926,264,
90-43-7,2-PHENYLPHENOL,170.2129,286,
90-47-1,9H-XANTHEN-9-ONE,197.2155,351,
90-90-4,"METHANONE, (4-BROMOPHENYL)PHENYL-",261.1201,350,
90-98-2,"Methanone, bis(4-chlorophenyl)-",251.1141,353,
91-00-9,Benzhydrylamin,183.2553,304,
91-01-0,BENZHYDROL,184.24,298,
91-02-1,PHENYL-A-PYRIDYLKETONE,183.2116,317,
91-10-1,"2,6-Dimethoxyphenol",154.1671,261,
91-16-7,"1,2-DIMETHOXYBENZENE",138.1677,206,
91-17-8,DECAHYDRONAPHTHALENE,138.255,155.5,
91-19-0,QUINOXALINE,130.1504,229.5,
91-20-3,NAPHTHALENE,128.1753,217.9,
91-21-4,"Isoquinoline, 1,2,3,4-tetrahydro-",133.1947,232.5,
91-22-5,QUINOLINE,129.1628,237.1,
91-23-6,2-NITROANISOLE,153.1387,277,
91-49-6,"Acetamide, N-butyl-N-phenyl-",191.2754,281,
91-55-4,"1H-INDOLE, 2,3-DIMETHYL-",145.2059,285,
91-57-6,2-METHYLNAPHTHALENE,142.2024,241.1,
91-58-7,2-CHLORONAPHTHALENE,162.6203,256,
91-59-8,2-NAPHTHYLAMINE,143.1899,300,
91-60-1,2-Naphthalenethiol,160.2393,288,
91-62-3,6-METHYLQUINOLINE,143.1899,258.6,
91-63-4,2-METHYLQUINOLINE,143.1899,246.5,
91-64-5,COUMARIN,146.147,301.7,
91-65-6,"Cyclohexanamine, N,N-diethyl-",155.2856,193,
91-66-7,"N,N-DIETHYLANILINE",149.2378,216.3,
91-67-8,"Benzenamine, N,N-diethyl-3-methyl-",163.2648,231-232,ALDRICH (2000)
91-68-9,"Phenol, 3-(diethylamino)-",165.2372,276,
91-78-1,"1,3,5-Triazine, hexahydro-1,3,5-triphenyl-",315.4216,185,
91-94-1,"3,3'-DICHLOROBENZIDINE",253.1329,368,
91-96-3,C.I. AZOIC COUPLING COMPONENT 5,380.4476,353.4,
92-06-8,m-TERPHENYL,230.3123,363,
92-36-4,"Benzenamine, 4-(6-methyl-2-benzothiazolyl)-",240.3291,434,
92-48-8,"2H-1-Benzopyran-2-one, 6-methyl-",160.1741,304,
92-50-2,"ETHANOL, 2-(ETHYLPHENYLAMINO)-",165.2372,268,
92-51-3,DICYCLOHEXYL,166.3091,238,
92-52-4,BIPHENYL,154.2135,256.1,
92-54-6,1-PHENYLPIPERAZINE,162.2365,286.5,
92-59-1,"Benzenemethanamine, N-ethyl-N-phenyl-",211.3094,288,
