CAS,Name,Mol Wt,Melt Pt (deg C),Reference
51-26-3,Thyropropic Acid,635.9657,200,
51-28-5,"2,4-DINITROPHENOL",184.1092,115.5,
51-34-3,SCOPOLAMINE,303.3612,59        ,
51-35-4,HYDROXYPROLINE,131.1324,274,
51-36-5,"3,5-DICHLOROBENZOIC ACID",191.0147,188,
51-41-2,(-)-NORADRENALINE,169.1818,217 dec,
51-42-3,ADRENALINE TARTRATE (1:1),333.2977,147-154   ,
51-43-4,EPINEPHRINE,183.2089,211.5,
51-44-5,"3,4-DICHLOROBENZOIC ACID",191.0147,350 dec,
51-45-6,1H-IMIDAZOLE-4-ETHANAMINE,111.1476,86,
51-48-9,THYROXINE,776.8768,235.5,
51-52-5,Propylthiouracil,170.2346,219,
51-55-8,ATROPINE,289.3778,118.5,
51-56-9,HOMATROPINE HYDROBROMIDE,356.2626,250 dec,
51-57-0,Methamphetamine hydrochloride,185.6987,170-175,Merck Index (2001)
51-60-5,Neostigmine Methylsulfate [USAN:JAN],334.3941,142-144,Aldrich (1998)
51-61-6,DOPAMINE,153.1824,128,
51-63-8,Dextroamphetamine Sulfate,368.4989,>300,
51-64-9,DEXTROAMPHETAMINE,135.2107,< 25,
51-65-0,p-Fluorophenylalanine,183.184,253-255 de,Aldrich (1998)
51-66-1,P-METHOXYACETANILIDE,165.1935,131,
51-67-2,4-(2-AMINOETHYL)PHENOL,137.183,164.5,
51-71-8,Phenelzine,136.1982,< 25,
51-73-0,Tremorine,192.3066,< 25,
51-75-2,Mechlorethamine,156.0561,-60,
51-77-4,Gefarnate,400.6505,< 25,
51-78-5,p-Aminophenol hydrochloride,145.5898,305 dec,Aldrich (1998)
51-79-6,O-ETHYL CARBAMATE (URETHANE),89.0947,49,
51-83-2,Carbahol,182.6517,210 dec,
51-93-4,ETHYLTRIMETHYLAMMONIUM IODIDE,215.0784,245 dec,
51-98-9,Norethindrone acetate,340.4667,161.5,
52-01-7,SPIRONOLACTONE,416.5842,207.5,Aldrich 2001
52-21-1,PREDNISOLONE ACETATE,402.492,238 dec,
52-24-4,THIOTEPA,189.2204,51.5      ,
52-28-8,CODEINE PHOSPHATE,397.3683,227.5 dec,
52-31-3,CYCLOBARBITAL,236.2729,173,
52-39-1,ALDOSTERONE,360.4543,166.5,
52-43-7,ALLOBARBITAL,208.2187,172,
52-46-0,Apholate,387.3068,147.5,
52-49-3,Trihexyphenidyl hydrochloride,301.4762,258.5,
52-51-7,"1,3-Propanediol, 2-bromo-2-nitro-",199.9896,131.5,
52-52-8,CYCLOLEUCINE,129.1601,330 dec,
52-53-9,VERAPAMIL,454.6149,< 25,
52-66-4,Penicillamine DL-,149.2129,208 dec,Aldrich (1998)
52-67-5,PENCILLAMINE,149.2129,198.5,
52-68-6,TRICHLORFON,257.4388,77,CRC (2005)
52-76-6,Lynestrenol,284.4456,159,
52-78-8,Norethandrolone,302.4609,140.5,
52-85-7,FAMPHUR,325.3445,53,
52-86-8,HALOPERIDOL,375.8744,151.5,
52-88-0,Methylatropine nitrate,366.4177,163,
52-90-4,CYSTEINE,121.1587,240 dec,
53-03-2,PREDNISONE,358.4384,224 dec,Merck Index; avg
53-05-4,Tetrahydrocortisone,364.4862,190,
53-06-5,CORTISONE,360.4543,222,
53-10-1,Hydroxydione Sodium,454.5439,201 dec,
53-16-7,ESTRONE,270.3748,260.2,
53-19-0,"O,P'-DDD",320.0478,77,
53-21-4,COCAINE HYDROCHLORIDE,339.8222,290 dec,
53-34-9,FLUPREDNISOLONE,378.4447,208-213,Merck Index
53-36-1,Methylprednisolone acetate [USAN:JAN],416.519,205-208,Merck Index (2001)
53-39-4,Oxandrolone,306.4492,236.5,
53-41-8,ANDROSTERONE,290.4498,185,
53-43-0,PRASTERONE,288.4338,140-141   ,
53-46-3,Methantheline Bromide,420.3503,174.5,
53-60-1,PROMAZINE HYDROCHLORIDE,320.8873,181 dec,
53-70-3,"DIBENZ(A,H)ANTHRACENE",278.3569,269.5,
53-79-2,PUROMYCIN,471.5203,175.5-177 ,
53-86-1,INDOMETHACIN,357.7967,158,
53-89-4,Benzpiperylon,347.4641,182 dec,
53-96-3,N-2-FLUORENYLACETAMIDE,223.277,193,
54-03-5,Hexobendine,592.6926,76,
54-04-6,MESCALINE,211.263,35.5,
54-05-7,CHLOROQUINE,319.881,289 dec,
54-06-8,Adrenochrome,179.177,125 dec,
54-11-5,NICOTINE,162.2365,-79,
54-12-6,DL-TRYPTOPHAN,204.2305,230 dec,
54-16-0,"1H-INDOLE-3-ACETIC ACID, 5-HYDROXY-",191.1881,162 dec,
54-20-6,TRIFLUOROMETHYLURACIL,180.0871,316,
54-21-7,SODIUM SALICYLATE,160.1059,213 dec,
54-25-1,6-AZAURIDINE,245.1934,158,
54-30-8,Camylofine,320.4791,< 25,
54-31-9,FUROSEMIDE,330.7489,295,
54-32-0,MOXISYLYTE,279.3826,144.5,
54-35-3,Penicillin procaine anhydrous [USAN],334.3969,108 dec,"Lide, DR ET AL (1994)"
54-36-4,Metyrapone,226.2805,50.5,
54-42-2,"URIDINE, 2'-DEOXY-5-IODO-",354.1028,263,
54-47-7,PYRIDOXAL-5-PHOSPHATE,247.1458,255,
54-49-9,METARAMINOL,167.2095,107.5,
54-71-7,"PILOCARPINE, MONOHYDROCHLORIDE",244.7233,204-205   ,
54-80-8,PRONETHALOL,229.3248,108       ,
54-85-3,ISONIAZID,137.1422,171.4,
54-88-6,2-Methyl-4-dimethylaminoazobenzene,239.3228,68,ALDRICH (2003)
54-91-1,PIPOBROMAN,356.0592,> 300,
54-92-2,IPRONIAZID,179.2235,150 dec,
54-95-5,PENTYLENETETRAZOLE,138.1734,59.5,
54-96-6,"3,4-Diaminopyridine",109.1316,220,
55-10-7,Vanilmandelic Acid,198.1771,132 dec,
55-16-3,"Scopolamine, hydrochloride",303.3612,200,"Lide, DR ET AL (1994)"
55-18-5,N-NITROSODIETHYLAMINE,102.1371,< 25,
55-21-0,BENZAMIDE,121.1399,129.1,
55-22-1,ISONICOTINIC ACID,123.1123,315,
55-27-6,NORADRENALINE (HCL),205.6427,292 dec,
55-38-9,FENTHION,278.3311,7.5,
55-43-6,N-(2-Chloroethyl)dibenzylamine Hydrochloride,296.2425,192,
55-48-1,HYOSCYAMINE SULFATE,676.8331,50.5,
55-52-7,Pheniprazine,150.2253,< 25,
55-55-0,p-Methylaminophenol Sulfate,205.234,260 dec,
55-56-1,CHLORHEXIDINE,505.4574,134,
55-63-0,"1,2,3-PROPANETRIOL TRINITRATE",227.088,13.5,
55-68-5,PHENYLMERCURIC NITRATE,339.7016,177,
55-73-2,Bethanidine,177.2512,196,
55-80-1,4-DIMETHYLAMINO-3'-METHYLAZOBENZENE,239.3228,138-139,
55-86-7,Mechlorethamine hydrochloride,192.5171,108-110,Aldrich (1998)
55-91-4,ISOFLUROPHATE,184.1489,-82.0,
55-94-7,Succinylcholine Bromide,450.2142,225,
55-97-0,Hexamethonium bromide [BAN:INN:JAN],362.1943,274-276,Merck Index (2001)
55-98-1,MYLERLAN,246.3029,287 dec,
56-03-1,Biguanide,101.1116,136,
56-04-2,METACIL,142.1804,330 dec,
56-05-3,Py 11,163.9946,219-222,Aldrich (1998)
56-06-4,"2,4-Diamino-6-hydroxypyrimidine",126.1186,286 dec,
56-09-7,"4(1H)-Pyrimidinone, 2-amino-6-hydroxy-",127.1034,>300,Aldrich (1998)
56-10-0,AET,281.0132,190-196,Aldrich (1998)
56-12-2,4-AMINOBUTYRIC ACID,103.1218,203 dec,
56-18-8,"1,3-Propanediamine, N-(3-aminopropyl)-",131.2225,-14,
56-23-5,CARBON TETRACHLORIDE,153.8232,-23,
56-25-7,Cantharidin,196.2047,218,
56-29-1,HEXABARITAL,236.2729,146.5,
56-33-7,"1,1,3,3-TETRAMETHYL-1,3-DIPHENYLDISILOXANE",286.5251,291 dec,
56-34-8,TETRAETHYL AMMONIUM CHLORIDE,165.7083,360 dec,
56-35-9,BIS(TRI-N-BUTYLTIN) OXIDE,596.0774,-45,
56-36-0,Tributyl tin acetate,349.084,84.7,
56-37-1,"Benzenemethanaminium, N,N,N-triethyl-, chloride",227.78,185 dec,Aldrich (1998)
56-38-2,PARATHION,291.2646,6.1,
56-40-6,GLYCINE,75.0677,262 dec,
56-41-7,ALANINE,89.0947,300 dec,
56-45-1,SERINE,105.0941,228 dec,
56-47-3,DEOXYCORTICOSTERONE ACETATE,372.5091,157,
56-49-5,3-METHYLCHOLANTHRENE,268.3617,180,
56-53-1,DES,268.3589,170.5,
56-54-2,QUINIDINE,324.4265,174,
56-55-3,BENZ(A)ANTHRACENE,228.2963,84,
56-57-5,4-NITROQUINOLINE OXIDE,190.1598,154,
56-69-9,"TRYPTOPHAN, 5-HYDROXY-",220.2299,298 dec,Merck Index
56-72-4,COUMAPHOS,362.7714,93,
56-75-7,CHLORAMPHENICOL,323.1347,150.5,
56-81-5,GLYCEROL,92.0954,18.2,
56-82-6,"Propanal, 2,3-dihydroxy-, (ñ)-",90.0795,145,
56-84-8,ASPARTIC ACID,133.1047,270,
56-85-9,GLUTAMINE,146.1471,185.5 dec,
56-86-0,GLUTAMIC ACID,147.1318,224 dec,
56-87-1,LYSINE,146.1907,224.5 dec,
56-88-2,L-Cystathionine,222.2646,312 dec,
56-89-3,CYSTINE,240.3015,260.5 dec,
56-92-8,Histamine dihydrochloride [USAN],184.0695,249-252,Aldrich (1998)
56-93-9,BENZYL TRIMETHYL AMMONIUM CHLORIDE,185.6987,239 dec,
56-95-1,Chlorhexidine acetate,625.5634,154-155,Merck Index (2001)
56-97-3,Trimedoxime bromide [INN],288.3523,>231 dec,Aldrich (1998)
57-00-1,CREATINE,131.1352,255 dec,Aldrich (2000)
57-03-4,Glycerophosphoric Acid,172.0754,-25,
57-06-7,3-ISOTHIOCYANATO-1-PROPENE,99.1551,-80,
57-08-9,e-Acetamidocaproic acid,173.2137,104.5,
57-09-0,Cetrimonium Bromide,364.4573,240,
57-10-3,PALMITIC ACID,256.4322,61.8,
57-11-4,STEARIC ACID,284.4864,68.8,
57-13-6,UREA,60.0558,132.7,
57-14-7,"1,1-DIMETHYLHYDRAZINE",60.0995,-58,
57-15-8,"B,B,B-TRICHLORO-T-BUTANOL",177.4588,97,
57-22-7,Vincristine,824.98,220,
57-24-9,STRYCHNINE,334.4217,287,
57-27-2,MORPHINE,285.3459,255,
57-33-0,Pentobarbital sodium [JAN],226.2777,127 dec,Merck Index (2001)
57-37-4,Benactyzine hydrochloride,363.8881,177-179,Aldrich (1998)
57-39-6,Metepa,215.2371,< 25,
57-41-0,PHENYTOIN,252.2751,295-298,Merck Index
57-42-1,DEMEROL,247.3401,270,
57-43-2,AMOBARBITAL,226.2777,157,
57-44-3,BARBITAL,184.1964,190,
57-47-6,PHYSOSTIGMINE,275.3535,105.5,
57-50-1,SUCROSE,342.3025,185.5,
57-53-4,MEPROBAMATE,218.2548,105,
57-55-6,"1,2-PROPANEDIOL",76.096,-60,
57-56-7,Carbamylhydrazine,75.0705,96,"Radding, SB Et Al (1977)"
57-57-8,BETA-PROPIOLACTONE,72.0641,-33.4,
57-62-5,AUREOMYCIN,478.8902,168.5,
57-63-6,ETHINYL ESTRADIOL,296.4131,183,
57-64-7,"PHYSOSTIGMINE, MONOSALICYLATE",413.4776,150.1,
57-66-9,PROBENECID,285.3647,195,
57-67-0,SULFANILYL GUANADINE,214.2473,191.5,
57-68-1,SULFAMETHAZINE,278.335,198.5,
57-71-6,"2,3-Butanedione, monooxime",101.1059,76.8,
57-74-9,CHLORDANE,409.7833,106,
57-83-0,PROGESTERONE,314.4721,121       ,
57-85-2,TESTOSTERONE PROPIONATE,344.4985,120,
57-87-4,ERGOSTEROL,396.6623,170,
57-88-5,CHOLESTEROL,386.6671,148.5,
57-91-0,a-Estradiol,272.3908,221.5,
57-96-5,SULFOXYPHENYL PYRAZOLIDINE,404.4915,136-137   ,
57-97-6,"7,12-DIME-BENZ(A)ANTHRACENE",256.3505,122.5,
58-00-4,"6A-BETA-APORPHINE-10,11-DIOL",267.3305,195 dec,
58-05-9,Foliinic acid,473.449,245 dec,
58-08-2,CAFFEINE,194.1945,238,Merck Index
58-14-0,PYRIMETHAMINE,248.7172,233.5,
58-15-1,AMINOPYRINE,231.2999,134.5,
58-18-4,17-A-METHYL TESTOSTERONE,302.4609,163,Merck Index (2001)
58-19-5,DROMOSTANOLONE,304.4768,151,Merck Index (2001)
58-20-8,Testosterone cypionate,412.6181,155,Merck Index (2001)
58-22-0,TESTOSTERONE,288.4338,155,Merck Index (2001)
58-25-3,LIBRIUM,299.7625,236.2,
58-27-5,"2-METHYL-1,4-NAPHTHOQUINONE",172.1852,107,
58-28-6,Desipramine hydrochloride [USAN:JAN],266.3894,215-216,Merck Index (2001)
58-32-2,Dipyridamole,504.6376,163,
58-33-3,Promethazine hydrochloride [JAN],320.8873,227-230,Aldrich (1998)
58-34-4,Thiazinamium Methylsulfate,410.5581,208,
58-36-6,"10,10'-Oxydiphenoxarsine",518.2359,184.5,
58-38-8,Prochloroperazine,373.9514,228,
58-39-9,PERPHENAZINE,403.9779,97,
58-40-2,PROMAZINE,284.4264,< 25,
58-46-8,Tetrabenazine,317.4319,128,
58-54-8,Ethacrynic acid,303.1442,122.5,
58-55-9,THEOPHYLLINE,180.1674,273,SAX
58-56-0,PYRIDOXINE HYDROCHLORIDE,205.6427,207,
58-61-7,ADENOSINE,267.2462,235.5,
58-63-9,INOSINE,268.2309,218 dec,
58-71-9,"CEPHALOTHIN, SODIUM",418.4255,204.5,
58-72-0,"Benzene, 1,1',1''-(1-ethenyl-2-ylidene)tris-",256.3505,72.5,
58-73-1,DIPHENHYDRAMINE,255.363,168,
58-74-2,PAPAVERINE,339.3947,147.5,
58-85-5,Biotin,244.3146,232 dec,CRC Handbook
58-86-6,D-Xylose,150.1325,90.5,
58-89-9,GAMMA-HEXACHLOROCYCLOHEXANE,290.8327,112.5,
58-90-2,"2,3,4,6-TETRACHLOROPHENOL",231.8942,70,
58-93-5,HYDROCHLOROTHIAZIDE,297.7405,274,
58-94-6,CHLOROTHIAZIDE,295.7246,350 dec,
58-95-7,Vitamin E acetate,472.7583,-27.5,
58-96-8,URIDINE,244.2058,165,
58-97-9,5'-Uridylic acid,324.1858,202 dec,
59-00-7,"2-QUINOLINECARBOXYLIC ACID, 4,8-DIHYDROXY-",205.1716,289,
59-02-9,Vitamin E,430.7207,3.0,
59-06-3,Ethopabate,237.2577,148.5,
59-14-3,5-BROMODEOXYURIDINE,307.1024,192.5,
59-23-4,GALACTOSE,180.1589,170,
59-26-7,NIKETHAMIDE,178.2359,25,
59-30-3,FOLIC ACID,441.4066,250 dec,
59-31-4,2-(1H)-QUINOLINONE,145.1622,199.5,
59-32-5,Chloropyramine,289.8109,< 25,
59-33-6,Pyrilamine maleate [USAN],401.4664,100-101,Merck Index (2001)
59-40-5,SULFAQUINOXALINE,300.3413,247.5,
59-43-8,Thiamine,300.8125,248 dec,
59-46-1,PROCAINE,236.3165,61,
59-47-2,"1,2-PROPANEDIOL-3-(2-TOLYLOXY)",182.2213,70 dec,
59-48-3,OXINDOLE,133.1511,128,
59-49-4,O-PHENYLENE CARBAMATE,135.1234,138,
59-50-7,3-METHYL-4-CHLOROPHENOL,142.5862,67,
59-51-8,DL-Methionine,149.2129,281 dec,
59-52-9,"1-Propanol, 2,3-dimercapto-",124.2246,< 25,
59-53-0,N-Acetylpenicillamine,191.2506,188-189 de,Aldrich (1998)
59-58-5,Prosultiamine,356.5121,128.5 dec,
59-63-2,ISOCARBOXAZID,232.2643,105-106   ,
59-66-5,ACETAZOLEAMIDE,222.2454,260.5,
59-67-6,NICOTINIC ACID,123.1123,236.6,
59-87-0,NITROFURAZONE,198.1391,238 dec,
59-88-1,"Phenylhydrazine, Monohydrochloride",144.605,245 dec,
59-89-2,N-NITROSOMORPHOLINE,116.1206,29,
59-92-7,DOPA,197.1923,285 dec,
59-96-1,Phenoxybenzamine,303.8351,39,
59-97-2,Tolazoline hydrochloride [JAN],196.6815,174-176,Aldrich (1998)
59-98-3,"1H-IMIDAZOLE, 4,5-DIHYDRO-2-(PHENYLMETHYL)-",160.2205,174       ,
60-00-4,ETHYLENEDIAMINE TETRAACETIC ACID,292.2476,245 dec,
60-01-5,TRIBUTYRIN,302.3709,-75,
60-02-6,Guanethidine sulfate [USAN:JAN],494.7048,276-281 de,Merck Index (2001)
60-09-3,P-PHENYLAZOANILINE,197.2416,127,Merck Index
60-10-6,"Diazenecarbothioic acid, phenyl-, 2-phenylhydraz",256.3314,167 dec,
60-11-7,"4-(N,N-DIMETHYLAMINO)AZOBENZENE",225.2958,117,
60-12-8,2-PHENYLETHANOL,122.1683,-27,
60-18-4,TYROSINE,181.1929,343 dec,
60-19-5,Tyramine hydrochloride,173.6439,271-274,Aldrich (1998)
60-23-1,2-Aminoethanethiol,77.1488,98,Merck Index
60-24-2,"Ethanol, 2-mercapto-",78.1335,< 25,
60-27-5,CREATININE,113.1199,300 dec,
60-29-7,DIETHYL ETHER,74.1237,-116.3,Merck Index
60-31-1,Acetylcholine Chloride,181.6641,150,
60-32-2,6-AMINOHEXANOIC ACID,131.176,205,
60-33-3,LINOLEIC ACID,280.4545,-8.5,
60-34-4,METHYL HYDRAZINE,46.0724,-52.4,
60-35-5,ACETAMIDE,59.0683,81,
60-40-2,Mecamylamine,167.2967,< 25,
60-41-3,STRYCHNINE SULPHATE,766.9209,200 dec,
60-44-6,Penthienate Bromide,420.4127,124.6,
60-46-8,Aminopentamide,296.4159,137,
60-51-5,DIMETHOATE,229.2581,52,
60-54-8,TETRACYCLINE,444.4452,172.5 dec,
60-56-0,METHIMAZOLE,114.1698,146,
60-57-1,DIELDRIN,380.915,175.5,
60-70-8,Veratramine,409.6174,206,
60-79-7,Ergonovine,325.4141,162,
60-80-0,ANTIPYRINE,188.2311,114,
60-81-1,Phloridzin,436.4194,110.0,
60-82-2,PHLORETIN,274.2758,263.5 dec,
60-87-7,PROMETHAZINE,284.4264,60,
60-91-3,DIETHAZINE,332.8985,< 25,
60-92-4,Cyclic AMP,329.2108,219-220   ,
61-00-7,Acepromazine,326.464,< 25,
61-01-8,METHOXYPROMAZINE,314.4528,44-48     ,
61-12-1,Dibucaine HCl,379.934,94 dec,
61-16-5,Methoxamine hydrochloride [JAN],211.263,212-216,Merck Index (2001)
61-19-8,5'-Adenylic acid,347.2262,195 dec,
61-25-6,Papaverine hydrochloride [USAN:JAN],375.8556,226 (dec),Aldrich (1998)
61-49-4,N-Methyltryptamine,174.2476,87-89,Aldrich (1998)
61-50-7,"N,N-DIMETHYLTRYPTAMINE",188.2747,46,
61-54-1,TRYPTAMINE,160.2205,118,
61-56-3,Sulthiame,290.3621,181,
61-57-4,NIRIDAZOLE,214.2037,260-262   ,
61-68-7,MEFENAMIC ACID,241.2923,230-231   ,
61-73-4,METHYLENE BLUE,319.859,105 dec,
61-75-6,Bretylium tosylate [USAN:BAN],414.3649,97-99,Merck Index (2001)
61-76-7,PHENYLEPHRINE HCL,203.6704,142.5   ,
61-78-9,"GLYCINE, N-(4-AMINOBENZOYL)-",194.1917,198.5,
61-80-3,ZOXAZOLAMINE,168.5837,184.5,
61-82-5,AMITROLE,84.081,159,
61-90-5,LEUCINE,131.176,293,
61-94-9,Arecoline hydrochloride,155.1983,157.5,"Lide, DR ET AL (1994)"
62-13-5,Adrenalone hydrochloride,217.6539,243,Merck Index (2001)
62-23-7,P-NITROBENZOIC ACID,167.1222,242,
62-31-7,Dopamine hydrochloride [USAN:JAN],189.6433,248-250,Aldrich (1998)
62-37-3,CHLORMERODRIN,367.1986,152.5,
62-38-4,PHENYLMERCURIC ACETATE,336.7418,153,
62-44-2,P-PHENACETIN,179.2206,137.5,
62-46-4,"1,2-DITHIOLANE-3-PENTANOIC ACID",206.3276,60.5,
62-51-1,Methacholine chloride,195.6912,172,
62-53-3,ANILINE,93.1294,-6.0,
62-55-5,THIOACETAMIDE,75.1329,115.5,
62-56-6,THIOUREA,76.1204,182,
62-57-7,"Alanine, 2-methyl-",103.1218,335,
62-59-9,CEVADINE,591.7486,213.5 dec,
62-67-9,NALORPHINE,311.3841,208-209   ,
62-73-7,DICHLORVOS,220.9778,-60,"Verschueren,K (2001)"
62-74-8,"FLUOROACETIC ACID, SODIUM SALT",100.0252,201,
62-75-9,N-NITROSODIMETHYLAMINE,74.0829,< 25,
62-76-0,Sodium oxalate,133.9995,260 dec,
62-90-8,Nandrolone Phenpropionate [USAN],406.5702,95-96,Merck Index (2001)
62-97-5,Diphemanil Methylsulfate,389.5176,194.5,
63-05-8,ANDROSTENEDIONE,286.4179,158,Merck Index (2001);avg
63-12-7,Benzquinamide,404.5107,131,
63-25-2,1-NAPHTHYL-N-METHYLCARBAMATE,201.227,145,
63-37-6,Cytidine monophosphate,323.201,233,ChemFinder On-Line
63-42-3,LACTOSE,342.3025,201-202   ,
63-45-6,Primaquine phosphate,357.3494,197-198,Merck Index (2001)
63-56-9,Thonzylamine Hydrochloride,322.8409,174.5,
63-68-3,METHIONINE,149.2129,283 dec,
63-74-1,SULFANILAMIDE,172.2069,165.5,
63-75-2,ARECOLINE,155.1983,< 25,
63-84-3,DOPA,197.1923,270 dec,
63-89-8,Colfosceril Palmitate,736.0752,234,
63-91-2,PHENYLALANINE,165.1935,283 dec,
63-92-3,Phenoxybenzamine hydrochloride [USAN],340.2961,137.5-140,Merck Index (2001)
63-98-9,PHENACEMIDE,178.1923,215,
64-00-6,N-METHYL O-(3-ISOPROPYLPHENYL)CARBAMATE,193.2477,73,
64-02-8,"EDTA, SODIUM SALT",380.1749,>300      ,
64-04-0,2-PHENYLETHYLAMINE,121.1836,-60,
64-10-8,PHENYLUREA,136.1546,147,
64-17-5,ETHANOL,46.0695,-114.1,
64-18-6,FORMIC ACID,46.0259,8.3,
64-19-7,ACETIC ACID,60.053,16.6,
64-20-0,Tetramethyl ammonium bromide,154.0509,230 dec,
64-31-3,MORPHINE SULFATE,668.7693,250,
64-47-1,PYSOTIGMINE SULFATE,648.7846,105-106   ,
64-55-1,MEBUTAMATE,232.2819,77.0,
64-65-3,"2,6-Piperidinedione, 4-ethyl-4-methyl-",155.1983,126.5,
64-67-5,DIETHYL SULFATE,154.1859,-24,
64-69-7,"Acetic acid, iodo-",185.9494,82.5,
64-72-2,Chlortetracycline hydrochloride [USAN:BAN],515.3512,243-247 de,Aldrich (1998)
64-75-5,Tetracycline hydrochloride [JAN],480.9062,222.5,ALDRICH (2003)
64-77-7,TOLBUTAMIDE,270.3529,128.5,
64-85-7,DEOXYCORTICOSTERONE,330.4715,141.5,
64-86-8,COLCHICINE,399.4477,156,
65-19-0,YOHIMBINE HYDROCHLORIDE,390.9139,289 dec,
65-22-5,PYRIDOXAL HYDROCHLORIDE,203.6268,165,
65-23-6,PYRIDOXINE,169.1818,159-162,
65-28-1,Phentolamine mesylate,379.4817,180-182,Aldrich (1998)
65-29-2,Gallamine Triethiodide,891.5442,147.5,
65-45-2,O-HYDROXYBENZAMIDE,137.1393,142,
65-46-3,CYTIDINE,243.2211,230.5 dec,
65-49-6,P-AMINOSALICYLIC ACID,153.1387,150.5 dec,
65-71-4,5-METHYLURACIL,126.1158,316,
65-82-7,"L-Methionine, N-acetyl-",191.2506,105.5,
65-85-0,BENZOIC ACID,122.1247,122.4,
65-86-1,OROTIC ACID,156.0986,345.5,
66-02-4,"3,5-DIIODOTYROSINE",432.9858,213 dec,
66-22-8,URACIL,112.0887,338,
66-23-9,ACETYLCHOLINE BROMIDE,226.1151,146,
